N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
14,0.368,0.78,0.0,0.9935455444723346,0.0012178115856306,,50,1
14,0.392,0.78,0.0,0.9959038242256132,0.0008033384280113,,51,0
14,0.418,0.78,0.0,0.9973298725626284,0.0006899662423153,,51,0
14,0.442,0.78,0.0,0.9984236741659512,0.0004569089213605,,50,1
14,0.466,0.78,0.0,0.9991421586936176,0.0003468554586267,,50,1
14,0.491,0.78,0.0,0.9994641656865914,0.0003501604419191,,49,2
14,0.515,0.78,0.0,0.9996959031222418,0.0001974375180721,,49,2
14,0.54,0.78,0.0,0.9998024132793016,0.000174962611613,,47,4
14,0.564,0.78,0.0,0.9996937327608628,0.0003712940907821,,47,4
14,0.589,0.78,0.0,0.999552315494772,0.0005220559278164,,50,1
14,0.613,0.78,0.0,0.9984508911222824,0.0013335779182113,,49,2
14,0.638,0.78,0.0,0.9939940199854947,0.0066332235948605,,51,0
14,0.662,0.78,0.0,0.9805445001685664,0.0162672165926641,,51,0
14,0.687,0.78,0.0,0.9680324215808171,0.0282766836868162,,50,1
14,0.711,0.78,0.0,0.9353831603049496,0.0262634222944555,,50,1
14,0.735,0.78,0.0,0.8926344458101049,0.0347821911673426,,41,10
14,0.76,0.78,0.0,0.5072542633060934,0.405026198247425,,51,0
14,0.784,0.78,0.0,0.53610317745633,0.3981954922637848,,50,0
15,0.001,0.78,0.5,4.037814565091983e-05,6.135081805372582e-05,,59,9
15,0.025,0.78,0.5,0.0147124549616273,0.0130249853455752,,70,0
15,0.05,0.78,0.5,0.0415925978351673,0.0218581807583899,,72,0
15,0.074,0.78,0.5,0.0780716459585518,0.0330369907731701,,71,0
15,0.099,0.78,0.5,0.154107061637765,0.0389591969415456,,68,5
15,0.123,0.78,0.5,0.2882402893148742,0.0815505802250171,,71,2
15,0.148,0.78,0.5,0.4950871734226881,0.0744744953212443,,70,2
15,0.172,0.78,0.5,0.6841791965781492,0.036960259616851,,69,4
15,0.197,0.78,0.5,0.8309828534931226,0.0259407701850522,,70,5
15,0.221,0.78,0.5,0.9076090887373516,0.0127268065952,,68,6
15,0.246,0.78,0.5,0.9492631841600998,0.0069561183152429,,66,7
15,0.27,0.78,0.5,0.9707257570889404,0.0030740709383199,,71,2
15,0.294,0.78,0.5,0.9827465841894918,0.0024170652535593,,70,4
15,0.319,0.78,0.5,0.9897378342001276,0.0015407383145678,,65,8
15,0.343,0.78,0.5,0.993658124123336,0.0010137244803762,,72,2
15,0.368,0.78,0.5,0.9962357766767256,0.0006104473877696,,66,5
15,0.392,0.78,0.5,0.9975651477223456,0.0004170498706836,,60,5
15,0.418,0.78,0.5,0.9986547530151554,0.0003081009171054,,65,3
15,0.442,0.78,0.5,0.9991539897990516,0.0002210837571426,,63,5
