N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
14,0.65635,0.21199,PBC,0.0,POLFED,4.22562789878072,0.0,343,1
14,0.09079,0.25238,PBC,0.0,POLFED,0.8012300720934779,0.0,343,1
14,0.21199,0.61596,PBC,0.0,POLFED,3.55926158675596,0.0,343,1
14,0.49476,0.57556,PBC,0.0,POLFED,4.262188000926107,0.0,343,1
14,0.53516,0.73715,PBC,0.0,POLFED,4.264376301836993,0.0,343,1
14,0.49476,0.65635,PBC,0.0,POLFED,4.262121705119423,0.0,343,1
14,0.01,0.01,PBC,0.0,POLFED,0.0018947580960081,0.0001453894337874,343,2
14,0.13119,0.33318,PBC,0.0,POLFED,1.3312941310482902,0.0,343,1
14,0.01,0.41397,PBC,0.0,POLFED,0.0325203783169877,0.0,343,1
14,0.21199,0.01,PBC,0.0,POLFED,0.6130014793584505,0.0,343,1
14,0.13119,0.01,PBC,0.0,POLFED,0.6463585126532494,0.0,343,1
14,0.0504,0.57556,PBC,0.0,POLFED,0.1093383484158299,0.0,343,1
