N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
12,0.656352995,0.454367684,PBC,0.0,POLFED,3.529914955,0.011192898,92,4
12,0.73714712,0.171588249,PBC,0.0,POLFED,3.052865792,0.080464187,92,4
12,0.252382373,0.252382373,PBC,0.0,POLFED,2.460813328,0.151361295,92,4
12,0.777544182,0.131191187,PBC,0.0,POLFED,2.606919731,0.245211047,92,4
12,0.777544182,0.696750057,PBC,0.0,POLFED,3.094405347,0.203049733,92,4
12,0.454367684,0.171588249,PBC,0.0,POLFED,3.419546891,0.016646663,92,4
12,0.696750057,0.292779435,PBC,0.0,POLFED,3.33592615,0.070291977,92,4
12,0.090794124,0.050397062,PBC,0.0,POLFED,0.267831039,0.15544471,92,4
12,0.01,0.494764746,PBC,0.0,POLFED,0.037103278,0.050031153,92,4
12,0.615955933,0.777544182,PBC,0.0,POLFED,3.537576308,0.029016259,92,4
12,0.535161809,0.73714712,PBC,0.0,POLFED,3.571597667,0.002895851,92,4
12,0.535161809,0.090794124,PBC,0.0,POLFED,3.221292297,0.040875164,92,4
12,0.413970622,0.252382373,PBC,0.0,POLFED,3.459519323,0.005718657,92,4
12,0.131191187,0.171588249,PBC,0.0,POLFED,0.480722688,0.059440507,92,4
12,0.777544182,0.615955933,PBC,0.0,POLFED,2.951051767,0.51291742,92,4
12,0.37357356,0.575558871,PBC,0.0,POLFED,3.525864203,0.014581594,92,4
12,0.494764746,0.656352995,PBC,0.0,POLFED,3.571303382,0.002300977,92,4
12,0.535161809,0.777544182,PBC,0.0,POLFED,3.560023096,0.015462286,92,4
12,0.211985311,0.171588249,PBC,0.0,POLFED,1.279200295,0.244024838,92,4
12,0.615955933,0.73714712,PBC,0.0,POLFED,3.534497049,0.002957591,92,4
12,0.615955933,0.090794124,PBC,0.0,POLFED,3.16699425,0.040006864,92,4
12,0.615955933,0.413970622,PBC,0.0,POLFED,3.546775187,0.00978351,92,4
12,0.090794124,0.292779435,PBC,0.0,POLFED,0.556895463,0.185394081,92,4
12,0.535161809,0.413970622,PBC,0.0,POLFED,3.561944453,0.01151681,92,4
12,0.494764746,0.575558871,PBC,0.0,POLFED,3.568870391,0.004864742,92,4
12,0.37357356,0.656352995,PBC,0.0,POLFED,3.519430601,0.00840587,92,4
12,0.050397062,0.252382373,PBC,0.0,POLFED,0.122130605,0.047910986,92,4
12,0.211985311,0.37357356,PBC,0.0,POLFED,2.411777399,0.154732921,92,4
12,0.090794124,0.494764746,PBC,0.0,POLFED,0.515263166,0.122582482,92,4
12,0.615955933,0.454367684,PBC,0.0,POLFED,3.555538102,0.013894413,92,4
12,0.131191187,0.37357356,PBC,0.0,POLFED,0.855799599,0.140817753,92,4
12,0.535161809,0.454367684,PBC,0.0,POLFED,3.567224292,0.004935405,92,4
12,0.333176498,0.615955933,PBC,0.0,POLFED,3.452287938,0.023317063,92,4
12,0.171588249,0.615955933,PBC,0.0,POLFED,1.932184957,0.124013473,92,4
12,0.696750057,0.494764746,PBC,0.0,POLFED,3.4617075,0.015482032,92,4
12,0.01,0.292779435,PBC,0.0,POLFED,0.049964743,0.078844888,92,4
